882,38
882,647
38,334
38,255
38,233
38,156
38,647
38,228
38,34
38,376
38,30
38,56
334,30
233,462
233,532
233,228
233,460
233,559
233,30
233,56
156,34
156,615
156,376
156,707
156,30
156,56
647,228
647,682
462,460
462,559
462,30
532,30
228,682
228,178
228,430
228,56
228,52
34,615
34,376
34,802
34,707
34,30
34,56
34,639
34,12
34,347
34,41
34,44
34,11
460,559
460,30
682,52
559,30
615,936
615,802
615,660
615,707
615,56
615,639
615,587
615,113
376,56
936,587
936,113
802,639
660,56
178,7
178,52
30,56
30,12
30,206
430,7
430,823
430,312
430,52
430,505
430,515
430,596
430,973
7,35
7,461
7,912
7,50
7,312
7,428
7,32
7,52
7,268
7,991
7,6
7,351
7,109
7,761
7,39
7,102
7,383
7,814
7,8
7,293
7,584
7,987
7,85
35,6
35,5
35,39
461,908
461,312
461,52
461,725
461,102
912,32
912,383
50,993
50,333
50,335
50,351
50,496
50,779
50,115
50,39
50,591
908,312
908,725
908,102
993,351
993,496
312,52
312,505
312,725
312,102
312,596
312,973
428,220
428,814
428,987
428,85
428,169
32,991
32,884
32,383
32,8
32,9
52,515
52,102
52,8
268,6
268,884
505,596
505,973
12,412
12,41
12,116
12,641
12,459
12,44
12,206
12,11
333,496
333,115
333,591
335,779
991,383
6,109
6,905
6,5
6,111
6,220
6,80
6,292
6,307
6,934
6,85
6,94
496,666
496,591
587,113
347,583
347,716
347,759
347,739
412,116
412,641
412,963
412,606
412,585
5,336
5,4
5,37
5,451
5,197
583,892
583,716
583,759
583,739
725,102
41,568
41,459
41,530
41,777
41,616
41,70
41,10
41,89
41,11
41,73
41,775
116,44
116,10
116,206
116,11
892,716
892,759
892,739
111,80
111,968
111,165
111,292
111,201
111,291
111,934
111,94
111,15
111,295
220,292
220,85
336,197
568,459
568,777
568,616
761,881
761,584
761,672
963,606
4,37
4,728
39,167
39,100
39,293
39,86
80,103
80,165
80,327
80,201
80,934
80,371
80,94
80,15
80,16
80,960
666,826
716,739
759,739
167,613
167,174
167,293
167,434
167,129
167,86
530,775
777,616
777,73
968,165
968,295
37,948
37,742
37,728
44,10
44,206
44,11
44,344
44,417
103,291
103,15
103,16
165,291
165,295
307,94
307,960
814,85
100,129
100,86
113,14
201,776
613,174
613,434
616,73
934,94
8,9
8,232
8,995
70,10
70,11
70,73
174,434
174,86
293,995
371,94
371,539
371,15
584,672
987,85
10,9
10,11
10,73
10,715
89,11
89,73
89,853
94,15
94,16
94,960
169,17
451,197
15,14
16,17
16,190
129,86
206,417
